run_id,run_name,state,sweep_id,created_at,model,seed,lr,wd,epochs,batch_size,dice_weight,dataset_length,early_stop_patience,burn_in,val_every,link,depth,start_filters,max_rot_order,group_order,activation_type,fourier_N,fourier_function,kernel_size,conv_sigma,up_mode,total_params,val_DetA,val_Recall,val_DetA_ann1,val_DetA_ann2,val_Recall_ann1,val_Recall_ann2,test_DetA,test_Recall,test_HOTA,test_AssA,test_DetA_ann1,test_DetA_ann2,test_HOTA_ann1,test_HOTA_ann2,test_AssA_ann1,test_AssA_ann2
2m4cs1w7,fresh-sweep-5,finished,,2026-04-23T15:07:15Z,,,,,,,,,,,,,,,,,,,,,,,273389,0.814893364906311,0.8646923303604126,0.8430793285369873,0.80509352684021,0.851460874080658,0.90708726644516,0.8068844079971313,,0.7090728282928467,0.6231181025505066,0.8068844079971313,,0.7090728282928467,,0.6231181025505066,
at3vok5x,easy-sweep-6,finished,,2026-04-23T15:07:51Z,,,,,,,,,,,,,,,,,,,,,,,231879,0.8106404542922974,0.863499104976654,0.8206817507743835,0.819256603717804,0.8452159762382507,0.9067415595054626,0.8094574809074402,,0.7253444790840149,0.6499719023704529,0.8094574809074402,,0.7253444790840149,,0.6499719023704529,
t3lu7pjp,morning-sweep-7,finished,,2026-04-23T15:54:38Z,,,,,,,,,,,,,,,,,,,,,,,188829,0.810710072517395,0.8325423002243042,0.8207216858863831,0.8167821168899536,0.8229128122329712,0.8621434569358826,0.8203331232070923,,0.732487142086029,0.6540482640266418,0.8203331232070923,,0.732487142086029,,0.6540482640266418,
fqm4v2nc,bright-sweep-8,finished,,2026-04-23T15:57:50Z,,,,,,,,,,,,,,,,,,,,,,,157348,0.800020158290863,0.8285812139511108,0.8153060674667358,0.8025845885276794,0.8156270980834961,0.858599841594696,0.8117496967315674,,0.7124641537666321,0.6253223419189453,0.8117496967315674,,0.7124641537666321,,0.6253223419189453,
x50u7zjq,dandy-sweep-9,finished,,2026-04-23T16:41:41Z,,,,,,,,,,,,,,,,,,,,,,,121391,0.8096932768821716,0.8661303520202637,0.824984073638916,0.8142096996307373,0.8478180170059204,0.9115816950798036,0.765927255153656,,0.6642353534698486,0.576045036315918,0.765927255153656,,0.6642353534698486,,0.576045036315918,
p3zxxdfc,skilled-sweep-10,finished,,2026-04-23T16:42:33Z,,,,,,,,,,,,,,,,,,,,,,,93152,0.8096047043800354,0.8466520309448242,0.8236135840415955,0.8162511587142944,0.8310163021087646,0.8870354294776917,0.7741296291351318,,0.6927623152732849,0.6199473142623901,0.7741296291351318,,0.6927623152732849,,0.6199473142623901,
s1g6ba3k,classic-sweep-11,finished,,2026-04-23T17:22:03Z,,,,,,,,,,,,,,,,,,,,,,,69456,0.8072293400764465,0.8355332612991333,0.8164511919021606,0.8131792545318604,0.821054220199585,0.8719965219497681,0.7993869781494141,,0.7000861167907715,0.6131205558776855,0.7993869781494141,,0.7000861167907715,,0.6131205558776855,
lpx4o2w3,fragrant-sweep-12,finished,,2026-04-23T17:22:38Z,,,,,,,,,,,,,,,,,,,,,,,47854,0.803798258304596,0.8306604027748108,0.8122655153274536,0.8195129632949829,0.8175600171089172,0.8592912554740906,0.7914705872535706,,0.7209301590919495,0.6566766500473022,0.7914705872535706,,0.7209301590919495,,0.6566766500473022,
5uq4eknm,sunny-sweep-13,finished,,2026-04-23T17:58:19Z,,,,,,,,,,,,,,,,,,,,,,,29620,0.806899905204773,0.8038650751113892,0.8237273693084717,0.8138551712036133,0.7948851585388184,0.8320657014846802,0.8005905747413635,,0.7102916240692139,0.6301774978637695,0.8005905747413635,,0.7102916240692139,,0.6301774978637695,
tk7umchg,devout-sweep-14,finished,,2026-04-23T17:58:54Z,,,,,,,,,,,,,,,,,,,,,,,18005,0.8109739422798157,0.833994448184967,0.827185869216919,0.811766505241394,0.8212028741836548,0.8624892234802246,0.8100929856300354,,0.7219575047492981,0.6434108018875122,0.8100929856300354,,0.7219575047492981,,0.6434108018875122,
g9l4y0h2,winter-sweep-15,finished,,2026-04-23T18:32:17Z,,,,,,,,,,,,,,,,,,,,,,,488892,0.8091874718666077,0.8572248220443726,0.8234999775886536,0.8137751221656799,0.842613935470581,0.8942091464996338,0.793469250202179,,0.7098299860954285,0.6350071430206299,0.793469250202179,,0.7098299860954285,,0.6350071430206299,
6o6r48wa,trim-sweep-16,finished,,2026-04-23T18:34:20Z,,,,,,,,,,,,,,,,,,,,,,,430329,0.816031813621521,0.8389952778816223,0.8373798727989197,0.8160771131515503,0.8285629153251648,0.8732929825782776,0.7593048214912415,,0.6856896281242371,0.6192114949226379,0.7593048214912415,,0.6856896281242371,,0.6192114949226379,
7s0qtzqk,balmy-sweep-17,finished,,2026-04-23T19:31:04Z,,,,,,,,,,,,,,,,,,,,,,,373168,0.8136789798736572,0.8425536155700684,0.8279385566711426,0.8188166618347168,0.8328005075454712,0.8770959377288818,0.8092707991600037,,0.7380247116088867,0.6730509400367737,0.8092707991600037,,0.7380247116088867,,0.6730509400367737,
reufj8ka,super-sweep-18,finished,,2026-04-23T19:32:18Z,,,,,,,,,,,,,,,,,,,,,,,322249,0.8165482878684998,0.8581563234329224,0.8299020528793335,0.8171102404594421,0.8420935273170471,0.8971477746963501,0.8307011723518372,,0.7484553456306458,0.6743524670600891,0.8307011723518372,,0.7484553456306458,,0.6743524670600891,
2lx7ujft,iconic-sweep-19,finished,,2026-04-23T20:26:36Z,,,,,,,,,,,,,,,,,,,,,,,273389,0.8119204640388489,0.8611236810684204,0.8221730589866638,0.8187692165374756,0.8445468544960022,0.9010371565818788,0.8096726536750793,,0.7485954761505127,0.6921256184577942,0.8096726536750793,,0.7485954761505127,,0.6921256184577942,
1aiwhgov,lyric-sweep-20,finished,,2026-04-23T20:27:54Z,,,,,,,,,,,,,,,,,,,,,,,231879,0.8064063787460327,0.8494446873664856,0.8201732635498047,0.8146435618400574,0.8314623236656189,0.8930855393409729,0.7928928732872009,,0.7044634222984314,0.6258962750434875,0.7928928732872009,,0.7044634222984314,,0.6258962750434875,
7eaq9rw1,decent-sweep-21,finished,,2026-04-23T21:15:51Z,,,,,,,,,,,,,,,,,,,,,,,188829,0.8131729960441589,0.8397172689437866,0.8293389678001404,0.8119006156921387,0.827001690864563,0.8724287152290344,0.8213681578636169,,0.7178181409835815,0.6273227334022522,0.8213681578636169,,0.7178181409835815,,0.6273227334022522,
ls8ifd1n,easy-sweep-22,finished,,2026-04-23T21:17:36Z,,,,,,,,,,,,,,,,,,,,,,,157348,0.8030821084976196,0.8448134064674377,0.8134567737579346,0.8082790374755859,0.8301985263824463,0.8803802728652954,0.7806833386421204,,0.6964449286460876,0.6212961077690125,0.7806833386421204,,0.6964449286460876,,0.6212961077690125,
