run_id,run_name,state,sweep_id,created_at,model,seed,lr,wd,epochs,batch_size,dice_weight,dataset_length,early_stop_patience,burn_in,val_every,link,depth,start_filters,max_rot_order,group_order,activation_type,fourier_N,fourier_function,kernel_size,conv_sigma,up_mode,total_params,epoch,val_DetA,val_DetA_ann1,val_DetA_ann2,val_DetA_ann3,val_Recall,val_Recall_ann1,val_Recall_ann2,val_Recall_ann3,val_HOTA,val_HOTA_ann1,val_HOTA_ann2,val_HOTA_ann3,val_AssA,val_AssA_ann1,val_AssA_ann2,val_AssA_ann3,test_DetA,test_DetA_ann1,test_HOTA,test_HOTA_ann1,test_AssA,test_AssA_ann1
reufj8ka,super-sweep-18,finished,,2026-04-23T19:32:18Z,equiunet,3,0.0047426,0.082253,100,16,0,1600,100,0,1,False,3,13,1,-1,fourierbn,16,p_relu,5,0.93869,nearest,322249,100,0.8165482878684998,0.8299020528793335,0.8171102404594421,0.8026325106620789,0.8581563234329224,0.8420935273170471,0.8971477746963501,0.8352277278900146,0.7628674507141113,0.7554070949554443,0.7701072096824646,0.7630881071090698,0.7129663228988647,0.6875990629196167,0.7258079051971436,0.725492000579834,0.8307011723518372,0.8307011723518372,0.7484553456306458,0.7484553456306458,0.6743524670600891,0.6743524670600891
2lx7ujft,iconic-sweep-19,finished,,2026-04-23T20:26:36Z,equiunet,3,0.0047426,0.082253,100,16,0,1600,100,0,1,False,3,12,1,-1,fourierbn,16,p_relu,5,0.93869,nearest,273389,100,0.8119204640388489,0.8221730589866638,0.8187692165374756,0.794819176197052,0.8611236810684204,0.8445468544960022,0.9010371565818788,0.8377869725227356,0.7561160922050476,0.7471799254417419,0.7683585286140442,0.7528097629547119,0.7043665051460266,0.6790271997451782,0.7210515737533569,0.7130207419395447,0.8096726536750793,0.8096726536750793,0.7485954761505127,0.7485954761505127,0.6921256184577942,0.6921256184577942
1aiwhgov,lyric-sweep-20,finished,,2026-04-23T20:27:54Z,equiunet,3,0.0047426,0.082253,100,16,0,1600,100,0,1,False,3,11,1,-1,fourierbn,16,p_relu,5,0.93869,nearest,231879,100,0.8064063787460327,0.8201732635498047,0.8146435618400574,0.7844023704528809,0.8494446873664856,0.8314623236656189,0.8930855393409729,0.823786199092865,0.7475482821464539,0.7455876469612122,0.7578796148300171,0.7391776442527771,0.6931387186050415,0.67778480052948,0.705070972442627,0.6965603828430176,0.7928928732872009,0.7928928732872009,0.7044634222984314,0.7044634222984314,0.6258962750434875,0.6258962750434875
7eaq9rw1,decent-sweep-21,finished,,2026-04-23T21:15:51Z,equiunet,3,0.0047426,0.082253,100,16,0,1600,100,0,1,False,3,10,1,-1,fourierbn,16,p_relu,5,0.93869,nearest,188829,100,0.8131729960441589,0.8293389678001404,0.8119006156921387,0.798279345035553,0.8397172689437866,0.827001690864563,0.8724287152290344,0.819721519947052,0.7590228915214539,0.7572188377380371,0.765946090221405,0.7539037466049194,0.7086526155471802,0.6913703083992004,0.7225926518440247,0.7119949460029602,0.8213681578636169,0.8213681578636169,0.7178181409835815,0.7178181409835815,0.6273227334022522,0.6273227334022522
ls8ifd1n,easy-sweep-22,finished,,2026-04-23T21:17:36Z,equiunet,3,0.0047426,0.082253,100,16,0,1600,100,0,1,False,3,9,1,-1,fourierbn,16,p_relu,5,0.93869,nearest,157348,100,0.8030821084976196,0.8134567737579346,0.8082790374755859,0.7875105738639832,0.8448134064674377,0.8301985263824463,0.8803802728652954,0.8238614797592163,0.7479767799377441,0.7415141463279724,0.7589278221130371,0.7434883713722229,0.6968170404434204,0.6759341955184937,0.7125898003578186,0.7019270062446594,0.7806833386421204,0.7806833386421204,0.6964449286460876,0.6964449286460876,0.6212961077690125,0.6212961077690125
rr2awk2q,solar-sweep-23,finished,,2026-04-23T22:03:54Z,equiunet,3,0.0047426,0.082253,100,16,0,1600,100,0,1,False,3,8,1,-1,fourierbn,16,p_relu,5,0.93869,nearest,121391,100,0.809913158416748,0.8210940361022949,0.8202654719352722,0.788379967212677,0.8363348841667175,0.8238049149513245,0.8693171739578247,0.8158825635910034,0.7633401155471802,0.7529823780059814,0.781051754951477,0.7559861540794373,0.7197189331054688,0.690520703792572,0.7437127232551575,0.7249233722686768,0.7824376821517944,0.7824376821517944,0.7067365050315857,0.7067365050315857,0.6383594274520874,0.6383594274520874
bk58j9a8,prime-sweep-24,finished,,2026-04-23T22:04:05Z,equiunet,3,0.0047426,0.082253,100,16,0,1600,100,0,1,False,3,7,1,-1,fourierbn,16,p_relu,5,0.93869,nearest,93152,100,0.8129984140396118,0.8335820436477661,0.8131726384162903,0.7922405004501343,0.7893716096878052,0.7751839756965637,0.8128781318664551,0.780052661895752,0.75551837682724,0.7620820999145508,0.76045823097229,0.7440147399902344,0.7022002339363098,0.6967149972915649,0.7111611366271973,0.698724627494812,0.8035102486610413,0.8035102486610413,0.7223963141441345,0.7223963141441345,0.6494708061218262,0.6494708061218262
a7zybibl,decent-sweep-25,finished,,2026-04-23T22:44:22Z,equiunet,3,0.0047426,0.082253,100,16,0,1600,100,0,1,False,3,6,1,-1,fourierbn,16,p_relu,5,0.93869,nearest,69456,100,0.8078373074531555,0.8243971467018127,0.8124667406082153,0.7866480350494385,0.8351094126701355,0.8203850984573364,0.8673292994499207,0.8176138401031494,0.7550697922706604,0.7588978409767151,0.760479211807251,0.7458323836326599,0.7058517336845398,0.6986024975776672,0.7118181586265564,0.707134485244751,0.8152465224266052,0.8152465224266052,0.7303257584571838,0.7303257584571838,0.6542508006095886,0.6542508006095886
mq4t2gev,youthful-sweep-26,finished,,2026-04-23T22:44:38Z,equiunet,3,0.0047426,0.082253,100,16,0,1600,100,0,1,False,3,5,1,-1,fourierbn,16,p_relu,5,0.93869,nearest,47854,100,0.799762487411499,0.8106281757354736,0.8074533939361572,0.781205952167511,0.8368550539016724,0.8227640986442566,0.8713915348052979,0.8164094686508179,0.7455351948738098,0.7369526624679565,0.7477582693099976,0.7518945932388306,0.6953775882720947,0.6699733734130859,0.6924763917922974,0.7236829400062561,0.7826555967330933,0.7826555967330933,0.7244189977645874,0.7244189977645874,0.6705157160758972,0.6705157160758972
4mjod6iu,sweet-sweep-27,finished,,2026-04-23T23:21:45Z,equiunet,3,0.0047426,0.082253,100,16,0,1600,100,0,1,False,3,4,1,-1,fourierbn,16,p_relu,5,0.93869,nearest,29620,100,0.8011767268180847,0.8132803440093994,0.8092145323753357,0.7810351848602295,0.8253016471862793,0.8129507303237915,0.8538461327552795,0.8091080188751221,0.7427806854248047,0.7297794222831726,0.7550754547119141,0.7434872388839722,0.6890514492988586,0.6548516154289246,0.7045584321022034,0.7077443599700928,0.7985879778862,0.7985879778862,0.7129306197166443,0.7129306197166443,0.6364609599113464,0.6364609599113464
